Zona;Factura;Fecha;Cod;Cliente;Código;Producto;Cant;Costo unitario;Valor bruto;Descuento;Valor a pagar
10;25913;6/04/2016;11102;ALVAREZ BARBA S.A.;0104020041;FILO BLAN. MARQ. PVC 22mm;1250;78,90;98625,00;13,75;98611,25
10;25913;30/03/2016;11102;ALVAREZ BARBA S.A.;0104020041;FILO BLAN. MARQ. PVC 22mm;1250;78,90;98625,00;13,75;98611,25
10;25540;31/03/2016;11102;ALVAREZ BARBA S.A.;0104020079;FILO GRIS PVC 22 mm/ 2mm.;300;53,51;16052,40;8,16;16044,24
10;26332;20/04/2016;11102;ALVAREZ BARBA S.A.;0104020082;FILO MAPLE PVC 22 mm/0.45mm.;1200;106,07;127281,60;15,60;127266,00
10;26313;19/04/2016;11102;ALVAREZ BARBA S.A.;0801010001;PISO NOVOPARQUET MAHAGONY;17;309,92;5268,65;53,74;5214,92
10;26309;19/04/2016;11102;ALVAREZ BARBA S.A.;0801010002;PISO NOVOPARQUET BEECH;17;305,87;5199,80;53,74;5146,06
10;26309;19/04/2016;11102;ALVAREZ BARBA S.A.;0801010002;PISO NOVOPARQUET BEECH;17;305,87;5199,80;53,74;5146,06
10;26318;19/04/2016;11102;ALVAREZ BARBA S.A.;0801010003;PROTECTOR UNDERLAY PCV;34;41,00;1394,07;9,52;1384,55
10;26313;19/04/2016;11102;ALVAREZ BARBA S.A.;0801010004;BARREDERA 19 MM MAHAGONY;10;239,96;2399,65;14,89;2384,76
10;26309;19/05/2016;11102;ALVAREZ BARBA S.A.;0801010007;BARREDERA 19MM BEECH;13;57,13;742,71;14,89;727,83
10;26309;19/05/2016;11102;ALVAREZ BARBA S.A.;0801010007;BARREDERA 19MM BEECH;13;57,13;742,71;14,89;727,83
10;26435;25/05/2016;11102;ALVAREZ BARBA S.A.;0801010028;PISO NOVOPARQUET BOCHE LUCCA;1;57,13;57,13;3,33;53,80
10;26214;14/05/2016;11102;ALVAREZ BARBA S.A.;FA708063FBF;NOVOFOIL F.BLANCO FINO;20;187,62;3752,48;98,04;3654,44
10;25938;31/03/2016;11102;ALVAREZ BARBA S.A.;FA708063FCE;NOVOFOIL FAN. CEREZO D/ -A- 06;10;110,95;1109,47;44,78;1064,69
10;26215;14/05/2016;11102;ALVAREZ BARBA S.A.;FA708063FHA;NOVOFOIL FAN. HAYA D/ -A- 06;4;44,67;178,68;21,70;156,98
10;24818;1/05/2016;11102;ALVAREZ BARBA S.A.;FA708063FSA;NOVOFOIL FAN. SAPELL D/ -A- 06;62;763,76;47353,39;336,41;47016,98
10;25981;4/05/2016;11102;ALVAREZ BARBA S.A.;FA708063FSA;NOVOFOIL FAN. SAPELL D/ -A- 06;20;246,38;4927,51;108,52;4818,99
10;25902;30/03/2016;11102;ALVAREZ BARBA S.A.;FA708151FBF;NOVOFOIL F.BLANCO FINO;25;428,92;10722,90;185,00;10537,90
10;26214;14/05/2016;11102;ALVAREZ BARBA S.A.;FA708151FBF;NOVOFOIL F.BLANCO FINO;100;1715,66;171566,40;740,00;170826,40
10;26214;14/05/2016;11102;ALVAREZ BARBA S.A.;FA708153FBF;NOVOFOIL F.BLANCO FINO;20;292,87;5857,32;127,20;5730,12
10;26336;25/05/2016;11102;ALVAREZ BARBA S.A.;FDA708102KO;FIBROPANEL -BC- 10MM CAOBA;3;108,15;324,45;15,30;309,15
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708102KO;FIBROPANEL -BC- 10MM CAOBA;17;612,85;10418,42;86,72;10331,70
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708102SA;FIBROPANEL -BC- 10MM SAPELLI;15;524,53;7868,00;74,43;7793,57
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708132KO;FIBROPANEL -BC- 13MM CAOBA;15;599,73;8995,92;84,41;8911,52
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708132SA;FIBROPANEL -BC- 13MM SAPELLI;15;583,51;8752,70;82,34;8670,37
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708162KO;FIBROPANEL -BC- 16MM CAOBA;15;656,81;9852,11;92,18;9759,94
10;26336;20/05/2016;11102;ALVAREZ BARBA S.A.;FDA708162SA;FIBROPANEL -BC- 16MM SAPELLI;15;640,59;9608,90;90,09;9518,81
10;25916;30/03/2016;11102;ALVAREZ BARBA S.A.;GA708033FNE;FIBRAFOIL FAN. NEGRO D/ -A- 03;10;104,09;1040,87;23,00;1017,87
10;25931;31/03/2016;11102;ALVAREZ BARBA S.A.;H.015.31.639;TORNILLO HOSPA 3.5 X 15  MM;2000;5,32;10640,00;1,00;10639,00
10;25913;30/03/2016;11102;ALVAREZ BARBA S.A.;H.015.31.639;TORNILLO HOSPA 3.5 X 15  MM;3000;7,98;23940,00;1,50;23938,50
10;25913;30/03/2016;11102;ALVAREZ BARBA S.A.;H.267.06.103;TORNILLO CUELLO MARRON 36-45MM;1000;71,43;71430,00;10,90;71419,10
10;25913;30/03/2016;11102;ALVAREZ BARBA S.A.;H.267.06.702;TORNILLO DE UNION BLANCO;1000;66,78;66780,00;10,30;66769,70
10;25913;30/03/2016;11102;ALVAREZ BARBA S.A.;H.311.00.500;BISAGRA RECTA ECONOMICA 110/40;500;86,94;43470,00;13,60;43456,40
10;25931;31/03/2016;11102;ALVAREZ BARBA S.A.;H.311.00.501;BISAGRA SEMICODO ECONOMI  48/6;500;87,97;43982,50;14,10;43968,40
